instrument_key,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,option_type,exchange
NSE_EQ|INE148I07SF0,23289,0SCL26,SEC RE NCD SR III,999.0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE0D0U01013,12533,AAATECH,AAA TECHNOLOGIES LIMITED,124.08,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE883F01010,23729,AADHARHFC,AADHAR HOUSING FINANCE L,416.5,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE087Z01024,240,AAKASH,AAKASH EXPLORATION SER L,12.94,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE198H01019,5248,AAREYDRUGS,AAREY DRUGS & PHARM LTD,73.61,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE721Z01010,1030,AARON,AARON INDUSTRIES LIMITED,269.95,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE01C001026,17145,AARTECH,AARTECH SOLONICS LIMITED,80.44,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE767A01016,4481,AARTIDRUGS,AARTI DRUGS LTD.,574.6,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE769A01020,7,AARTIIND,AARTI INDUSTRIES LTD,609.6,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE0LRU01027,13868,AARTIPHARM,AARTI PHARMALABS LIMITED,679.0,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE09EO01013,19233,AARTISURF,AARTI SURFACTANTS LIMITED,657.65,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE273D01019,13775,AARVEEDEN,AARVEE DEN. & EXP. LTD,44.0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE754X01016,19073,AARVI,AARVI ENCON LIMITED,143.85,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE0OB201016,16961,AATMAJ,AATMAJ HEALTHCARE LIMITED,27.1,,,0.05,2000,EQUITY,,NSE_EQ
NSE_EQ|INE216P01012,5385,AAVAS,AAVAS FINANCIERS LIMITED,1741.45,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE421A01028,10,ABAN,ABAN OFFSHORE LTD.,83.95,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE117A01022,13,ABB,ABB INDIA LIMITED,7639.05,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE358A01014,17903,ABBOTINDIA,ABBOTT INDIA LIMITED,29735.45,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE674K01013,21614,ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,221.74,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE08PH01015,7787,ABCOTS,A B COTSPIN INDIA LIMITED,248.8,,,0.05,500,EQUITY,,NSE_EQ
NSE_EQ|INE552Z01027,24308,ABDL,ALLIED BLEND N DISTILS L,349.55,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE647O01011,30108,ABFRL,ADITYA BIRLA FASHION & RT,310.45,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE00YB01017,11022,ABINFRA,A B INFRABUILD LIMITED,80.0,,,0.05,2000,EQUITY,,NSE_EQ
NSE_EQ|INE251C01025,5551,ABMINTLLTD,ABM INTERNATIONAL LTD,60.7,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE404A01024,6018,ABSLAMC,ADIT BIRL SUN LIF AMC LTD,735.8,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE0QRV01016,23783,ABSMARINE,ABS MARINE SERVICES LTD,258.8,,,0.05,1000,EQUITY,,NSE_EQ
NSE_EQ|INE012A01025,22,ACC,ACC LIMITED,2348.55,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE793A01012,7053,ACCELYA,ACCELYA SOLN INDIA LTD,1749.55,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE0Q5D01013,20488,ACCENTMIC,ACCENT MICROCELL LIMITED,272.6,,,0.05,500,EQUITY,,NSE_EQ
NSE_EQ|INE113X01015,21217,ACCORD,ACCORD SYNERGY LIMITED,26.5,,,0.05,2000,EQUITY,,NSE_EQ
NSE_EQ|INE648Z01023,1472,ACCURACY,ACCURACY SHIPPING LIMITED,10.81,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE731H01025,13587,ACE,ACTION CONST EQUIP LTD,1279.15,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE543V01017,11779,ACEINTEG,ACE INTEGRATED SOLU. LTD.,33.41,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE128X01021,12024,ACI,ARCHEAN CHEMICAL IND LTD,732.1,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE666E01020,15420,ACL,ANDHRA CEMENTS LIMITED,90.81,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE152B01027,13688,ACLGATI,ALLCARGO GATI LIMITED,103.5,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE0P4T01013,19579,ACSAL,ARVIND AND COMPANY,71.15,,,0.05,3000,EQUITY,,NSE_EQ
NSE_EQ|INE931S01010,10217,ADANIENSOL,ADANI ENERGY SOLUTION LTD,1028.6,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE423A01024,25,ADANIENT,ADANI ENTERPRISES LIMITED,3012.35,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE364U01010,3563,ADANIGREEN,ADANI GREEN ENERGY LTD,1930.9,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE742F01042,15083,ADANIPORTS,ADANI PORT & SEZ LTD,1472.1,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE814H01011,17388,ADANIPOWER,ADANI POWER LTD,650.85,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE982B01027,19761,ADFFOODS,ADF FOODS LIMITED,274.2,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE0CHO01012,245,ADL,ARCHIDPLY DECOR LIMITED,100.61,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE045A01017,34,ADORWELD,ADOR WELDING LTD,1307.35,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE737B01033,4953,ADROITINFO,ADROIT INFOTECH LIMITED,19.29,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE102I01027,14813,ADSL,ALLIED DIGITAL SERV. LTD,293.9,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE199C01026,14745,ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,76.41,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE837H01020,18039,ADVENZYMES,ADVANCED ENZYME TECH LTD,459.0,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE208C01025,40,AEGISLOG,AEGIS LOGISTICS LIMITED,848.35,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE024001021,18268,AEROFLEX,AEROFLEX INDUSTRIES LTD,175.12,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE0WL801011,25068,AERON,AERON COMPOSITE LIMITED,157.5,,,0.05,1000,EQUITY,,NSE_EQ
NSE_EQ|INE0TSF01011,24830,AESTHETIK,AESTHETIK ENGINEERS LTD,89.9,,,0.05,2000,EQUITY,,NSE_EQ
NSE_EQ|INE0BWX01014,9810,AETHER,AETHER INDUSTRIES LIMITED,931.5,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE00WC01027,11343,AFFLE,AFFLE (INDIA) LIMITED,1608.3,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE916Y01019,24159,AFIL,AKME FINTRADE (INDIA) LTD,114.88,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE204E01012,3389,AGARIND,AGARWAL INDS CORP LTD.,1243.15,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE0MLA01012,14267,AGARWALFT,AGARWAL FLOAT GLASS I LTD,100.0,,,0.05,3000,EQUITY,,NSE_EQ
NSE_EQ|INE415A01038,1412,AGI,AGI GREENPAC LIMITED,921.0,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE976R01017,24445,AGIIL,AGI INFRA LIMITED,970.15,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE0LF301013,10491,AGNI,AGNI GREEN POWER LTD,43.65,,,0.05,2500,EQUITY,,NSE_EQ
NSE_EQ|INE740V01019,9046,AGROPHOS,AGRO PHOS INDIA LIMITED,45.23,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE583L01014,7927,AGSTRA,AGS TRANSACT TECH LTD,103.39,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE0O6N01012,15147,AGUL,A G UNIVERSAL LIMITED,58.95,,,0.05,2000,EQUITY,,NSE_EQ
NSE_EQ|INE00ZE01026,13288,AHL,ABANS HOLDINGS LIMITED,571.25,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE00PV01013,2004,AHLADA,AHLADA ENGINEERS LIMITED,111.56,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE926K01017,19438,AHLEAST,ASIAN HOTELS (EAST) LTD,135.39,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE758C01029,17833,AHLUCONT,AHLUWALIA CONT IND LTD,1167.45,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE212H01026,13086,AIAENG,AIA ENGINEERING LIMITED,4385.9,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE206F01022,23553,AIIL,AUTHUM INVEST & INFRA LTD,1661.6,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE0CAJ01017,4654,AILIMITED,ABHISHEK INTEGRATIONS LTD,103.0,,,0.05,3000,EQUITY,,NSE_EQ
NSE_EQ|INE0RUV01018,23987,AIMTRON,AIMTRON ELECTRONICS LTD,469.9,,,0.05,800,EQUITY,,NSE_EQ
NSE_EQ|INE645W01026,9898,AIRAN,AIRAN LIMITED,38.01,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE801L01010,6068,AIROLAM,AIRO LAM LIMITED,132.49,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE635Y01015,482,AISL,ANI INTEGRATED SERV LTD.,149.25,,,0.05,1200,EQUITY,,NSE_EQ
NSE_EQ|INE031B01049,8124,AJANTPHARM,AJANTA PHARMA LIMITED,3229.55,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE298G01027,17307,AJMERA,AJMERA REALTY & INF I LTD,676.75,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE820Y01021,3409,AJOONI,AJOONI BIOTECH LIMITED,10.34,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE0PCY01014,21132,AKANKSHA,AKANKSHA POWER N INFRA L,136.75,,,0.05,2000,EQUITY,,NSE_EQ
NSE_EQ|INE00Y801016,2176,AKG,AKG EXIM LIMITED,21.15,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE642Z01026,14890,AKI,AKI INDIA LIMITED,21.44,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE0PMR01017,24304,AKIKO,AKIKO GLOBAL SERVICES L,68.0,,,0.05,1600,EQUITY,,NSE_EQ
NSE_EQ|INE256Z01025,9560,AKSHAR,AKSHAR SPINTEX LIMITED,1.78,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE542B01011,20178,AKSHARCHEM,AKSHARCHEM INDIA LIMITED,343.55,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE523B01011,8591,AKSHOPTFBR,AKSH OPTIFIBRE LIMITED,8.9,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE09XN01023,24715,AKUMS,AKUMS DRUGS AND PHARMA L,896.95,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE133A01011,1467,AKZOINDIA,AKZO NOBEL INDIA LIMITED,3561.3,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE914E01040,9921,ALANKIT,ALANKIT LIMITED,26.08,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE155C01010,17260,ALBERTDAVD,ALBERT DAVID LIMITED,1611.45,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE426A01027,79,ALEMBICLTD,ALEMBIC LIMITED,155.52,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE062D01024,13656,ALICON,ALICON CASTALLOY LIMITED,1505.3,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE773I01017,16959,ALKALI,ALKALI METALS LTD,117.04,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE540L01014,11703,ALKEM,ALKEM LABORATORIES LTD.,6207.8,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE150B01039,4487,ALKYLAMINE,ALKYL AMINES CHEM. LTD,2171.4,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE418H01029,13501,ALLCARGO,ALLCARGO LOGISTICS LTD,67.99,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE0M2X01012,13203,ALLETEC,ALL E TECHNOLOGIES LTD,451.3,,,0.05,400,EQUITY,,NSE_EQ
NSE_EQ|INE835G01018,11798,ALLSEC,ALLSEC TECHNOLOGIES LTD,1146.2,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE326B01035,16723,ALMONDZ,ALMONDZ GLOBAL SEC LTD,32.34,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE270A01029,17675,ALOKINDS,ALOK INDUSTRIES LIMITED,27.0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE385I01010,14848,ALPA,ALPA LABORATORIES LTD,104.42,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE0R4701017,22691,ALPEXSOLAR,ALPEX SOLAR LIMITED,950.4,,,0.05,400,EQUITY,,NSE_EQ
NSE_EQ|INE137C01018,14601,ALPHAGEO,ALPHAGEO (INDIA) LIMITED,427.7,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE093B01015,7623,ALPSINDUS,ALPS INDUSTRIES LTD.,3.85,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE0STM01017,23478,ALUWIND,ALUWIND ARCHITECTURAL LTD,67.0,,,0.05,3000,EQUITY,,NSE_EQ
NSE_EQ|INE00C501018,4083,AMBANIORGO,AMBANI ORGOCHEM LIMITED,97.0,,,0.05,1000,EQUITY,,NSE_EQ
NSE_EQ|INE371P01015,1185,AMBER,AMBER ENTERPRISES (I) LTD,4510.85,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE0M3I01029,24415,AMBEY,AMBEY LABORATORIES LTD,75.85,,,0.05,2000,EQUITY,,NSE_EQ
NSE_EQ|INE792B01012,11496,AMBICAAGAR,AMBICA AGAR & AROMAINDLTD,30.55,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE540G01014,15234,AMBIKCO,AMBIKA COTTON MILL LTD.,1730.8,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE079A01024,1270,AMBUJACEM,AMBUJA CEMENTS LTD,627.1,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE005I01014,14398,AMDIND,AMD INDUSTRIES LIMITED,77.19,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE0KT901015,10898,AMEYA,AMEYA PRECISION ENG LTD,109.4,,,0.05,2000,EQUITY,,NSE_EQ
NSE_EQ|INE00FF01017,5578,AMIORG,AMI ORGANICS LIMITED,1397.3,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE606A01024,7795,AMJLAND,AMJ LAND HOLDINGS LIMITED,54.09,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE749Y01014,1353,AMJUMBO,A AND M JUMBO BAGS LTD,15.35,,,0.05,8000,EQUITY,,NSE_EQ
NSE_EQ|INE275D01022,19867,AMNPLST,AMINES & PLASTICIZERS LTD,322.5,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE098F01031,17547,AMRUTANJAN,AMRUTAJAN HEALTH LTD,807.45,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE463V01026,7145,ANANDRATHI,ANAND RATHI WEALTH LTD,3841.25,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE242C01024,13620,ANANTRAJ,ANANT RAJ LIMITED,611.75,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE435A01028,166,ANDHRAPAP,ANDHRA PAPER LIMITED,562.65,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE715B01021,136,ANDHRSUGAR,ANDHRA SUGARS LTD,115.93,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE732I01013,324,ANGELONE,ANGEL ONE LIMITED,2552.2,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE087B01017,16661,ANIKINDS,ANIK INDUSTRIES LTD,77.79,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE0LR101013,13664,ANLON,ANLON TECHNOLOGY SOL LTD,453.0,,,0.05,400,EQUITY,,NSE_EQ
NSE_EQ|INE02AR01019,3732,ANMOL,ANMOL INDIA LIMITED,32.2,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE0MGM01017,11198,ANNAPURNA,ANNAPURNA SWADISHT LTD,447.85,,,0.05,500,EQUITY,,NSE_EQ
NSE_EQ|INE436A01026,19677,ANSALAPI,ANSAL PROP & INFRA LTD,9.99,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE414B01021,8285,ANTGRAPHIC,ANTARCTICA LTD,1.99,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE294Z01018,9014,ANUP,THE ANUP ENGINEERING LTD,2289.35,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE930P01018,2829,ANURAS,ANUPAM RASAYAN INDIA LTD,773.15,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE372A01015,11491,APARINDS,APAR INDUSTRIES LTD.,8978.45,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE071F01012,20453,APCL,ANJANI PORTLAND CEM LTD,182.51,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE116A01032,154,APCOTEXIND,APCOTEX INDUSTRIES LIMITE,438.2,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE346W01013,21623,APEX,APEX FROZEN FOODS LIMITED,264.4,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE702C01027,25780,APLAPOLLO,APL APOLLO TUBES LTD,1455.35,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE901L01018,25328,APLLTD,ALEMBIC PHARMA LTD,1116.2,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE713T01028,1134,APOLLO,APOLLO MICRO SYSTEMS LTD,101.99,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE437A01024,157,APOLLOHOSP,APOLLO HOSPITALS ENTER. L,6930.9,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE126J01016,14361,APOLLOPIPE,APOLLO PIPES LIMITED,657.25,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE438A01022,163,APOLLOTYRE,APOLLO TYRES LTD,508.7,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE451F01024,6302,APOLSINHOT,APOLLO SINDOORI HOTEL LTD,1760.2,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE0LQG01010,24638,APRAMEYA,APRAMEYA ENGINEERING LTD,64.4,,,0.05,2000,EQUITY,,NSE_EQ
NSE_EQ|INE0P0001010,21459,APS,AUSTRALIAN PREM SOLAR I L,512.2,,,0.05,500,EQUITY,,NSE_EQ
NSE_EQ|INE266F01018,10755,APTECHT,APTECH LIMITED,233.92,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE852O01025,5435,APTUS,APTUS VALUE HSG FIN I LTD,323.35,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE08NJ01024,19253,ARABIAN,ARABIAN PETROLEUM LIMITED,83.0,,,0.05,2000,EQUITY,,NSE_EQ
NSE_EQ|INE877I01016,16799,ARCHIDPLY,ARCHIDPLY IND. LTD,131.57,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE731A01020,5688,ARCHIES,ARCHIES LTD,30.59,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE885A01032,100,ARE&M,AMARA RAJA ENERGY MOB LTD,1487.15,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE610C01014,9499,ARENTERP,RAJDARSHAN INDUSTRIES LTD,52.59,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE0L2Y01011,13092,ARHAM,ARHAM TECHNOLOGIES LTD,133.9,,,0.05,1000,EQUITY,,NSE_EQ
NSE_EQ|INE298I01015,15204,ARIES,ARIES AGRO LTD.,291.15,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE0NCC01015,13340,ARIHANTACA,ARIHANT ACADEMY LIMITED,180.0,,,0.05,800,EQUITY,,NSE_EQ
NSE_EQ|INE420B01036,3813,ARIHANTCAP,ARIHANT CAPITAL MKTS LTD,101.99,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE643K01018,20159,ARIHANTSUP,ARIHANT SUPERSTRUCT LTD,329.7,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE082101010,13926,ARISTO,ARISTO BIO T AND LIFESC L,99.0,,,0.05,1600,EQUITY,,NSE_EQ
NSE_EQ|INE109C01017,17263,ARMANFIN,ARMAN FIN SERV LTD,1699.55,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE210C01013,14557,AROGRANITE,ARO GRANITE IND. LTD.,58.9,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE570D01018,9260,ARROWGREEN,ARROW GREENTECH LIMITED,866.2,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE267I01010,18206,ARSSINFRA,ARSS INFRA PROJ. LTD,19.28,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE025R01021,16913,ARTEMISMED,ARTEMIS MED SERVICE LTD,269.9,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE738V01013,6159,ARTNIRMAN,ART NIRMAN LIMITED,68.45,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE006Z01016,2820,ARVEE,ARVEE LABORATORIES I LTD,181.02,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE034A01011,193,ARVIND,ARVIND LIMITED,394.05,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE955V01021,9111,ARVINDFASN,ARVIND FASHIONS LIMITED,580.25,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE034S01021,10457,ARVSMART,ARVIND SMARTSPACES LTD,738.65,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE439A01020,5378,ASAHIINDIA,ASAHI INDIA GLASS LIMITED,678.3,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE228I01012,25092,ASAHISONG,ASAHI SONGWON COLOR LTD,533.5,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE900C01027,10634,ASAL,AUTOMOTIVE STAMPINGS & AS,808.2,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE073G01016,17598,ASALCBR,ASSO ALCOHOLS & BREW LTD,913.25,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE0LAA01017,24711,ASHALOG,ASHAPURA LOGISTICS LTD,139.45,,,0.05,1000,EQUITY,,NSE_EQ
NSE_EQ|INE348A01023,203,ASHAPURMIN,ASHAPURA MINECHEM LTD,319.65,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE365D01021,24403,ASHIANA,ASHIANA HOUSING LTD,325.85,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE440A01010,7895,ASHIMASYN,ASHIMA LTD,32.63,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE442H01029,20182,ASHOKA,ASHOKA BUILDCON LTD,236.69,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE760Y01011,16943,ASHOKAMET,ASHOKA METCAST LIMITED,19.4,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE208A01029,212,ASHOKLEY,ASHOK LEYLAND LTD,250.5,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE276G01015,7030,ASIANENE,ASIAN ENERGY SERVICES LTD,418.75,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE363A01022,18422,ASIANHOTNR,ASIAN HOTELS (NORTH) LTD,183.32,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE021A01026,236,ASIANPAINT,ASIAN PAINTS LIMITED,3231.65,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE022I01019,14889,ASIANTILES,ASIAN GRANITO IND. LTD.,88.74,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE491J01022,20152,ASKAUTOLTD,ASK AUTOMOTIVE LIMITED,455.7,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE855F01042,14064,ASMS,BARTRONICS INDIA LIMITED,17.22,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE991I01015,17270,ASPINWALL,ASPINWALL & CO LTD,293.75,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE0S7801010,23396,ASPIRE,ASPIRE & INNOVATIVE ADV L,86.65,,,0.05,2000,EQUITY,,NSE_EQ
NSE_EQ|INE563J01010,17728,ASTEC,ASTEC LIFESCIENCES LTD,1203.25,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE914M01019,1508,ASTERDM,ASTER DM HEALTHCARE LTD.,406.85,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE006I01046,14418,ASTRAL,ASTRAL LIMITED,1935.8,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE386C01029,11618,ASTRAMICRO,ASTRA MICROWAVE LTD,879.0,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE203A01020,5610,ASTRAZEN,ASTRAZENECA PHARMA IND LT,6900.2,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE646X01014,874,ASTRON,ASTRON PAPER BORD MIL LTD,23.75,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE0ALR01029,15653,ATALREAL,ATAL REALTECH LIMITED,7.44,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE09KD01013,15404,ATAM,ATAM VALVES LIMITED,158.31,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE209A01019,1663,ATFL,AGRO TECH FOODS LIMITED,835.2,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE399L01023,6066,ATGL,ADANI TOTAL GAS LIMITED,854.55,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE0NN701020,17778,ATL,ALLCARGO TERMINALS LTD,48.82,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE285H01022,13582,ATLANTAA,ATLANTAA LIMITED,53.85,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE05DH01017,22788,ATMASTCO,ATMASTCO LIMITED,257.85,,,0.05,800,EQUITY,,NSE_EQ
NSE_EQ|INE100A01010,263,ATUL,ATUL LTD,7916.9,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE951D01028,30027,ATULAUTO,ATUL AUTO LIMITED,713.55,,,0.05,1,EQUITY,,NSE_EQ
