instrument_key,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,option_type,exchange
NSE_EQ|INE218G01033,17059,PALREDTEC,PALRED TECHNOLOGIES LTD,95.0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE922B01023,4055,PANACEABIO,PANACEA BIOTEC LTD,239.39,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE895W01019,16355,PANACHE,PANACHE DIGILIFE LIMITED,163.79,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE305C01029,25392,PANAMAPET,PANAMA PETROCHEM LTD,411.05,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE697V01011,6152,PANSARI,PANSARI DEVELOPERS LTD,130.36,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE04LG01015,5631,PAR,PAR DRUGS AND CHEM LTD,240.25,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE074B01023,13951,PARACABLES,PARAMOUNT COMM LTD,88.0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE088F01024,9741,PARADEEP,PARADEEP PHOSPHATES LTD,83.4,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE883N01014,17130,PARAGMILK,PARAG MILK FOODS LTD.,192.09,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE0N4G01012,19779,PARAGON,PARAGON FINE S.C. LTD.,151.5,,,0.05,1200,EQUITY,,NSE_EQ
NSE_EQ|INE0S2W01018,25072,PARAMATRIX,PARAMATRIX TECHNOLOGIES L,120.8,,,0.05,1200,EQUITY,,NSE_EQ
NSE_EQ|INE045601015,5914,PARAS,PARAS DEF AND SPCE TECH L,1261.2,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE162C01024,8975,PARASPETRO,PARAS PETROFILS LTD.,3.68,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE00U801010,5460,PARIN,PARIN FURNITURE LIMITED,307.95,,,0.05,1000,EQUITY,,NSE_EQ
NSE_EQ|INE988S01028,22649,PARKHOTELS,PARKHOTELS,175.97,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE561H01026,13795,PARSVNATH,PARSVNATH DEVELOPER LTD,19.42,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE06ZX01015,2599,PARTYCRUS,PARTY CRUISERS LIMITED,121.0,,,0.05,1000,EQUITY,,NSE_EQ
NSE_EQ|INE818B01023,6045,PASUPTAC,PASUPATI ACRYLON LIMITED,52.09,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE619A01035,17029,PATANJALI,PATANJALI FOODS LIMITED,1927.95,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE244B01030,11699,PATELENG,PATEL ENGINEERING LTD.,58.18,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE529D01014,15219,PATINTLOG,PATEL INT. LOG. LTD,23.98,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE0NZW01014,15137,PATTECH,PATTECH FITWELL TUB COM L,98.0,,,0.05,1500,EQUITY,,NSE_EQ
NSE_EQ|INE07S101020,16192,PAVNAIND,PAVNA INDUSTRIES LIMITED,463.45,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE602A01031,2649,PCBL,PCBL LIMITED,510.2,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE998U01015,24290,PCCL,PETRO CARBON AND CHEMI L,275.8,,,0.05,800,EQUITY,,NSE_EQ
NSE_EQ|INE785M01013,29124,PCJEWELLER,PC JEWELLER LTD,117.07,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE865T01018,15377,PDMJEPAPER,PUDUMJEE PAPER PRO. LTD,120.38,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE111Q01021,5264,PDSL,PDS LIMITED,554.85,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE844A01013,2610,PEARLPOLY,PEARL POLYMERS LTD,39.09,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE140A01024,2412,PEL,PIRAMAL ENTERPRISES LTD,1057.45,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE932A01024,20621,PENIND,PENNAR INDUSTRIES LTD,170.12,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE138A01028,2256,PENINLAND,PENINSULA LAND LIMITED,57.7,,,0.01,1,EQUITY,,NSE_EQ
